# Airport database: IATA|ICAO|LAT|LON|CITY|NAME
# Source: OurAirports (public domain), scheduled-service
# large+medium airports. Add your own as extra lines.
BBM|VDBG|13.0956|103.224|Battambang|Battambang Airport
BBN|WBGZ|3.7346|115.4785|Bario|Bario Airport
BBO|HCMI|10.385|44.9367|Berbera|Berbera Airport
BBQ|TAPB|17.6212|-61.7983|Codrington|Burton-Nibbs International Airport
BBU|LRBS|44.5031|26.1029|Bucharest|Bucharest Baneasa Aurel Vlaicu International Airport
BCA|MUBA|20.3653|-74.5062|Baracoa|Gustavo Rizo Airport
BCD|RPVB|10.7762|123.0189|Bacolod City|Bacolod-Silay International Airport
BCH|WPEC|-8.4865|126.4|Baucau|Baucau Airport
BCI|YBAR|-23.5663|145.3021|Barcaldine|Barcaldine Airport
BCM|LRBC|46.5219|26.9103|Bacau|Bacau George Enescu International  Airport
BCN|LEBL|41.2971|2.0785|Barcelona|Josep Tarradellas Barcelona-El Prat Airport
BCO|HABC|5.7497|36.5602|Jinka|Jinka Airport
BCU|DNBC|10.4828|9.744|Bauchi|Sir Abubakar Tafawa Balewa Bauchi State International Airport
BDA|TXKF|32.3638|-64.6782|Hamilton|L.F. Wade International Airport
BDB|YBUD|-24.905|152.3226|Bundaberg|Bundaberg Airport
BDH|OIBL|26.5323|54.8248|Bandar Lengeh|Bandar Lengeh International Airport
BDJ|WAOO|-3.4401|114.7612|Banjarbaru|Syamsudin Noor International Airport
BDL|KBDL|41.9386|-72.688|Hartford|Bradley International Airport
BDO|WICC|-6.9006|107.576|Bandung|Husein Sastranegara International Airport
BDQ|VABO|22.3362|73.2263|Vadodara|Vadodara International Airport
BDS|LIBR|40.6576|17.947|Brindisi|Brindisi Airport
BDT|FZFD|4.2527|20.9753|Gbadolite|Gbadolite Airport
BDU|ENDU|69.0558|18.5404|Malselv|Bardufoss Airport
BEB|EGPL|57.4811|-7.3628|Balivanich|Benbecula Airport
BED|KBED|42.47|-71.289|Bedford|Laurence G Hanscom Field
BEF|MNBL|11.991|-83.7741|Bluefields|Bluefields Airport
BEG|LYBE|44.8184|20.3091|Belgrade|Belgrade Nikola Tesla Airport
BEJ|WAQT|2.1478|117.4307|Tanjung Redeb - Borneo Island|Kalimarau Airport
BEK|VIBY|28.4221|79.4508|Bareilly|Bareilly Air Force Station
BEL|SBBE|-1.3793|-48.4762|Belem|Val de Cans/Julio Cezar Ribeiro International Airport
BEM|GMMD|32.4019|-6.3159|Oulad Yaich|Beni Mellal Airport
BEN|HLLB|32.0968|20.2695|Benina|Benina International Airport
BER|EDDB|52.3617|13.5023|Berlin|Berlin Brandenburg Airport
BES|LFRB|48.4479|-4.4185|Brest|Brest Bretagne airport
BET|PABE|60.7798|-161.838|Bethel|Bethel Airport
BEU|YBIE|-24.3461|139.46|Bedourie|Bedourie Airport
BEW|FQBR|-19.7964|34.9076|Beira|Beira International Airport
BEY|OLBA|33.8198|35.4874|Beirut|Beirut Rafic Hariri International Airport
BFD|KBFD|41.8031|-78.6401|Bradford|Bradford Regional Airport
BFF|KBFF|41.874|-103.596|Scottsbluff|Western Neb. Rgnl/William B. Heilig Airport
BFI|KBFI|47.527|-122.2999|Seattle|King County International Airport - Boeing Field
BFJ|ZUBJ|27.2671|105.4721|Bijie|Bijie Feixiong Airport
BFL|KBFL|35.4336|-119.057|Bakersfield|Meadows Field
BFN|FABL|-29.0927|26.3024|Bloemfontein|Bram Fischer International Airport
BFS|EGAA|54.6575|-6.2158|Belfast|Belfast International Airport
BFV|VTUO|15.2295|103.253|Buriram|Buri Ram Airport
BFY|ZSBA|33.1663|117.0583|Bengbu|Bengbu Tenghu Airport
BGA|SKBG|7.1265|-73.1848|Bucaramanga|Palonegro Airport
BGC|LPBG|41.8578|-6.7071|Braganca|Braganca Airport
BGF|FEFF|4.3985|18.5188|Bangui|Bangui M'Poko International Airport
BGI|TBPB|13.0747|-59.491|Bridgetown|Grantley Adams International Airport
BGM|KBGM|42.2087|-75.9798|Binghamton|Greater Binghamton/Edwin A Link field
BGO|ENBR|60.2934|5.2181|Bergen|Bergen Airport, Flesland
BGR|KBGR|44.8064|-68.8267|Bangor|Bangor International Airport
BGW|ORBI|33.2625|44.2346|Baghdad|Baghdad International Airport / New Al Muthana Air Base
BGY|LIME|45.6694|9.7089|Orio al Serio (BG)|Il Caravaggio International Airport
BHB|KBHB|44.45|-68.3615|Bar Harbor|Hancock County-Bar Harbor Airport
BHD|EGAC|54.6181|-5.8725|Belfast|George Best Belfast City Airport
BHE|NZWB|-41.5183|173.87|Blenheim|Woodbourne Airport
BHH|OEBH|19.9844|42.6209|Bisha|Bisha Airport
BHI|SAZB|-38.725|-62.1693|Bahia Blanca|Comandante Espora Airport
BHJ|VABJ|23.2878|69.6702|Bhuj|Bhuj Airport
BHK|UZSB|39.7753|64.4823|Bukhara|Bukhara International Airport
BHM|KBHM|33.5629|-86.7507|Birmingham|Birmingham-Shuttlesworth International Airport
BHO|VABP|23.2875|77.3374|Bhopal|Raja Bhoj International Airport
BHQ|YBHI|-32.0014|141.472|Broken Hill|Broken Hill Airport
BHS|YBTH|-33.4068|149.6512|Bathurst|Bathurst Airport
BHU|VABV|21.7522|72.1852|Bhavnagar|Bhavnagar Airport
BHV|OPBW|29.3481|71.718|Bahawalpur|Bahawalpur Airport
BHX|EGBB|52.4539|-1.748|Birmingham, West Midlands|Birmingham Airport
BHY|ZGBH|21.5387|109.2937|Beihai|Beihai Fucheng Airport
BIA|LFKB|42.5527|9.4837|Bastia|Bastia-Poretta International airport
BIH|KBIH|37.3731|-118.364|Bishop|Eastern Sierra Regional Airport
BIK|WABB|-1.19|136.108|Biak|Frans Kaisiepo Airport
BIL|KBIL|45.8089|-108.5412|Billings|Billings Logan International Airport
BIM|MYBS|25.6999|-79.2647|South Bimini|South Bimini Airport
BIO|LEBB|43.3011|-2.9106|Bilbao|Bilbao Airport
BIQ|LFBZ|43.4684|-1.5232|Biarritz|Biarritz Pays Basque airport
BIR|VNVT|26.4815|87.264|Biratnagar|Biratnagar Airport
BIS|KBIS|46.7727|-100.7469|Bismarck|Bismarck Municipal Airport
BJA|DAAE|36.7125|5.0699|Bejaia|SoummamAbane Ramdane Airport
BJB|OIMN|37.493|57.3082|Bojnord|Bojnord Airport
BJC|KBJC|39.9088|-105.117|Denver|Rocky Mountain Metropolitan Airport
BJF|ENBS|70.6003|29.6926|Batsfjord|Batsfjord Airport
BJL|GBYD|13.338|-16.6522|Banjul (Yundum)|Banjul International Airport
BJM|HBBA|-3.324|29.3185|Bujumbura|Bujumbura Melchior Ndadaye International Airport
BJR|HABD|11.6081|37.3216|Bahir Dar|Bahir Dar Airport
BJV|LTFE|37.2493|27.664|Bodrum|Milas Bodrum International Airport
BJX|MMLO|20.9927|-101.4803|Silao|Guanajuato International Airport
BJZ|LEBZ|38.8913|-6.8213|Badajoz|Badajoz Airport
BKG|KBBG|36.5321|-93.2005|Branson|Branson Airport
BKI|WBKK|5.9327|116.0493|Kota Kinabalu|Kota Kinabalu International Airport
BKK|VTBS|13.6811|100.747|Bangkok|Suvarnabhumi Airport
BKN|UTAN|39.6811|54.206|Balkanabat|Balkanabat International Airport
BKO|GABS|12.5335|-7.9499|Bamako|Modibo Keita International Airport
BKQ|YBCK|-24.4317|145.4297|Blackall|Blackall Airport
BKS|WIGG|-3.8637|102.339|Bengkulu|Fatmawati Soekarno Airport
BKW|KBKW|37.7873|-81.1242|Beaver|Raleigh County Memorial Airport
BLA|SVBC|10.1111|-64.6922|Barcelona|General Jose Antonio Anzoategui International Airport
BLD|KBVU|35.9472|-114.8588|Boulder City|Boulder City Municipal Airport
BLE|ESSD|60.422|15.5152|Borlange|Dala Airport
BLI|KBLI|48.7928|-122.538|Bellingham|Bellingham International Airport
BLJ|DABT|35.7521|6.3086|Batna|Batna Mostefa Ben Boulaid Airport
BLL|EKBI|55.7403|9.157|Billund|Billund Airport
BLQ|LIPE|44.5354|11.2887|Bologna|Bologna Guglielmo Marconi Airport
BLR|VOBL|13.1979|77.7063|Bengaluru|Kempegowda International Airport Bengaluru
BLV|KBLV|38.5452|-89.8352|Belleville|Scott AFB/Midamerica Airport
BLZ|FWCL|-15.6772|34.9723|Blantyre|Chileka International Airport
BMA|ESSB|59.3544|17.9417|Stockholm|Stockholm-Bromma Airport
BME|YBRM|-17.9492|122.2283|Broome|Broome International Airport
BMI|KBMI|40.4771|-88.9159|Bloomington/Normal|Central Illinois Regional Airport at Bloomington-Normal
BMU|WADB|-8.5372|118.685|Bima|Sultan Muhammad Salahuddin Airport
BMV|VVBM|12.6683|108.12|Buon Ma Thuot|Buon Ma Thuot Airport
BMW|DATM|21.3778|0.927|Bordj Badji Mokhtar|Bordj Badji Mokhtar Airport
BNA|KBNA|36.1245|-86.6782|Nashville|Nashville International Airport
BND|OIKB|27.2183|56.3778|Bandar Abbas|Bandar Abbas International Airport
BNE|YBBN|-27.3842|153.117|Brisbane|Brisbane International Airport
BNI|DNBE|6.317|5.5995|Benin|Benin Airport
BNK|YBNA|-28.8332|153.5615|Ballina|Ballina Byron Gateway Airport
BNN|ENBN|65.4611|12.2175|Brnny|Brnnysund Airport, Brnny
BNS|SVBI|8.615|-70.2142|Barinas|Barinas Airport
